Wavelength (nm)/Guest Conc (M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,0.005564637,0.002838306,0.001745187,0.002662388,0.00223439,0.003594762,0.002154024,0.002157198,0.002214434,0.003532646,0.003109891,0.004270158,0.003280462,0.003611024,0.005160359,0.004001843,0.005881829,0.005236594,0.004640588,0.005873485,0.005586295,0.006351918,0.005664573,0.006716741,0.0053852,0.006646869,0.006938575,0.007008599,0.007029513
785,0.005553782,0.002962922,0.00176125,0.002662518,0.002289425,0.003829553,0.002070577,0.002114197,0.002145387,0.003384673,0.003097273,0.004099642,0.003092997,0.00373252,0.005011359,0.003987266,0.005840452,0.005246865,0.004466396,0.005744857,0.005498228,0.006307318,0.005582651,0.006678255,0.005484334,0.006565813,0.007080686,0.007069899,0.007188972
784,0.005716477,0.002800944,0.001663014,0.002463578,0.00223439,0.003690929,0.002136308,0.002041161,0.002153659,0.003480246,0.002893913,0.004198692,0.003286982,0.003642321,0.005054988,0.003931258,0.005744857,0.005278045,0.004514914,0.005828174,0.005655866,0.00617507,0.005488921,0.006662956,0.005501295,0.006734644,0.006957619,0.007062505,0.00700952
783,0.0057383,0.002944887,0.001817498,0.002660981,0.002279094,0.003615644,0.002122417,0.002262362,0.002046856,0.003444185,0.002864571,0.004141664,0.003241914,0.003724374,0.005001958,0.003940949,0.005950948,0.00536025,0.004469953,0.005932526,0.005625681,0.006066512,0.005537868,0.006689953,0.005401005,0.006724654,0.006824488,0.00707174,0.006890628
782,0.005580134,0.00288401,0.001715014,0.002595952,0.00227389,0.003712677,0.002204443,0.002159305,0.00203999,0.003471452,0.002943767,0.004239207,0.003225067,0.003654695,0.005134348,0.003996514,0.005954858,0.005300318,0.004577589,0.005884768,0.005613278,0.00632468,0.005558921,0.006688323,0.0056641,0.006610177,0.006853756,0.007015491,0.007081765
781,0.005624502,0.003097325,0.001861483,0.002633192,0.002364846,0.003661586,0.002201893,0.00225505,0.002090422,0.003569106,0.003182665,0.004219054,0.003350759,0.003753277,0.005092231,0.004110879,0.005770145,0.005407898,0.004584234,0.006047035,0.00566966,0.00646433,0.005859369,0.006839687,0.005667064,0.006862225,0.0070403,0.007234662,0.00709058
780,0.005709185,0.002854383,0.001806425,0.002658455,0.002404539,0.003730274,0.002186543,0.002208996,0.002060719,0.003529462,0.002903242,0.004276615,0.003220373,0.003721267,0.005106348,0.004087282,0.005859343,0.005423781,0.004577537,0.005946723,0.005704647,0.006356856,0.005755638,0.006742926,0.005637928,0.006727914,0.007050192,0.007181471,0.007104315
779,0.005669005,0.002872597,0.001813937,0.002526766,0.002408574,0.003729569,0.00199929,0.002199786,0.002191877,0.003487474,0.003005277,0.004365507,0.003235942,0.003797041,0.005098988,0.004047017,0.00575556,0.005517078,0.004676146,0.006051497,0.005858399,0.00633797,0.005663078,0.006627392,0.005637089,0.006724917,0.007132523,0.007088527,0.007063848
778,0.005629458,0.002904858,0.001798029,0.002671816,0.002327993,0.003600818,0.002240427,0.002113,0.002183031,0.00355068,0.003091276,0.004087701,0.003222668,0.003635847,0.005165703,0.004088432,0.00582862,0.005522845,0.004519622,0.006015852,0.005650883,0.006296839,0.005706431,0.006756255,0.005535298,0.006732462,0.007083423,0.007243348,0.007130892
777,0.005722064,0.002949604,0.001827272,0.002613764,0.002270871,0.003716593,0.002134357,0.002187063,0.002173379,0.003595049,0.003132862,0.004245768,0.003385482,0.003667329,0.005115096,0.004152275,0.005814217,0.005431252,0.004563096,0.006054175,0.005899777,0.00622517,0.005744018,0.006861883,0.005685554,0.006809921,0.007121971,0.007228924,0.007203131
776,0.005696832,0.00306067,0.001812689,0.002568505,0.002327862,0.003816678,0.002195909,0.002252552,0.002185425,0.003567305,0.003067292,0.004347936,0.003278688,0.003755575,0.005199602,0.004143128,0.005873249,0.005376289,0.004598021,0.006118543,0.005663733,0.006343775,0.00571207,0.006952253,0.005732818,0.006786808,0.007167391,0.007266301,0.007198025
775,0.005591566,0.003037939,0.00180879,0.002548038,0.00231001,0.003677145,0.002249664,0.002278938,0.002186049,0.003750536,0.003195207,0.004342341,0.003411467,0.003898163,0.005254883,0.004108971,0.005972074,0.005682144,0.004749627,0.006210675,0.005848848,0.006566417,0.005757396,0.00700581,0.005749657,0.006897728,0.007241374,0.007382953,0.007371236
774,0.00593208,0.003017242,0.001951547,0.002788126,0.002512706,0.003764374,0.002220132,0.002241442,0.002224295,0.003625954,0.003126343,0.004414667,0.00349084,0.003783358,0.005259625,0.004168609,0.006013989,0.005658829,0.004601448,0.006071893,0.005849032,0.006554959,0.005836911,0.00691656,0.005795197,0.006816652,0.007369735,0.007381636,0.00713447
773,0.006067431,0.003127177,0.001817446,0.002661841,0.002494195,0.003947427,0.002271938,0.002520022,0.002300875,0.003710327,0.003293894,0.004506648,0.003479646,0.00400456,0.005348876,0.004310863,0.006134715,0.005657859,0.004819639,0.006373484,0.005824239,0.006545946,0.006060317,0.007048614,0.005855617,0.006990632,0.007315632,0.007435115,0.007392379
772,0.005865457,0.003285574,0.001979318,0.00277609,0.00249974,0.004119477,0.00235113,0.002659393,0.002410448,0.003804718,0.003523408,0.00474735,0.003509837,0.004044692,0.00544116,0.004258734,0.006283076,0.005895946,0.004707337,0.00639111,0.006019999,0.006647474,0.006031863,0.007186971,0.005960842,0.007019569,0.007327479,0.007460632,0.007506667
771,0.006100061,0.003187567,0.002054087,0.00286418,0.00249521,0.004033509,0.002392982,0.002334759,0.002339756,0.003816365,0.003244392,0.004469796,0.00354058,0.004057573,0.005422602,0.004323647,0.006279321,0.005662553,0.004796449,0.006346454,0.006042021,0.006629074,0.005995327,0.007151864,0.005890567,0.007231846,0.007535824,0.007499477,0.007613979
