Wavelength (nm)/Guest Conc (M),,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.42E-05,2.84E-05,4.25E-05,5.65E-05,7.04E-05,7.74E-05,8.43E-05,9.12E-05,9.80E-05,0.000104895,0.000111732,0.000125348,0.000138889,0.000152355,0.000165746,0.000185695,0.000205479,0.000238095,0.00027027,0.000302013,0.000364238,0.000424837,0.000597484,0.000757576,0.001,0.001216216
800,0.001902067,0.000879641,0.001467181,0.001814223,0.001356911,0.001677696,0.001717509,0.001389943,0.001245008,0.000843225,0.000898629,0.002622853,0.001759586,0.00064071,0.000560715,0.000849865,8.09E-05,6.71E-05,0.002145335,4.68E-05,0.000148948,0.001155351,0.000525052,-0.00036608,-0.000120146,-0.000121647,0.000257694
799,0.002526479,0.001555838,0.002110581,0.002695779,0.002097575,0.002426925,0.002515674,0.002096275,0.002102492,0.001521469,0.001827272,0.003343768,0.002430674,0.001381789,0.001323104,0.001613333,0.000842006,0.000958008,0.002724744,0.000834563,0.000932663,0.00175522,0.001258793,0.000300277,0.000731973,0.00050818,0.001005305
798,0.002418257,0.00176624,0.002041369,0.002625223,0.002081423,0.002327446,0.002534655,0.002053853,0.001983635,0.001715534,0.001801642,0.003359916,0.002690309,0.001496299,0.001253575,0.001532198,0.000739103,0.000747297,0.002850214,0.000741126,0.001038984,0.001812429,0.001296179,0.000157441,0.000658391,0.000604081,0.001025076
797,0.002486098,0.001714,0.002073308,0.002673431,0.002012813,0.002296529,0.002515726,0.002086365,0.00199154,0.001615516,0.001816562,0.003303545,0.00254934,0.001512481,0.001288312,0.001472142,0.000772892,0.000754143,0.002933368,0.000627152,0.000973393,0.001799328,0.00130955,0.000267329,0.000825563,0.000664328,0.000904232
796,0.002564547,0.00172832,0.002148378,0.002567542,0.001989122,0.002419428,0.002470477,0.002067143,0.002153868,0.001601381,0.00172767,0.003399518,0.002505182,0.001463285,0.0012157,0.00135486,0.00096932,0.000642265,0.002865952,0.000883428,0.001051803,0.00180723,0.001182786,0.000251762,0.000766486,0.000446633,0.000887942
795,0.002452671,0.001766656,0.002212144,0.002651006,0.002062514,0.002422162,0.002516585,0.002212769,0.002050862,0.001638952,0.00168123,0.003388952,0.002475033,0.001555085,0.001261857,0.001615957,0.000901067,0.000747868,0.002742927,0.000713174,0.000956581,0.001712649,0.001354678,0.000468219,0.000759796,0.000602396,0.000951133
794,0.002626968,0.001713507,0.002195727,0.002749361,0.002061447,0.002301708,0.002529005,0.002148847,0.001988056,0.00163043,0.001736013,0.003420389,0.002585093,0.001384957,0.001268737,0.001465831,0.000856608,0.000699614,0.002935818,0.000812518,0.000969605,0.001865045,0.001072744,0.000318566,0.000631974,0.00072728,0.000963975
793,0.002647282,0.001810896,0.002196378,0.002829995,0.002174576,0.002518747,0.002644521,0.002179649,0.002018248,0.001674942,0.001716677,0.003291104,0.002602774,0.001437157,0.001279952,0.001507832,0.000874843,0.000694739,0.002780154,0.000724324,0.001029851,0.001913559,0.001241452,0.000271188,0.000656109,0.000594023,0.000983537
792,0.002675306,0.001743134,0.002105561,0.002810115,0.002139664,0.002561318,0.002375569,0.002133186,0.002149029,0.001692742,0.001789243,0.003393674,0.002614936,0.001538199,0.001179827,0.00158982,0.000949577,0.000702621,0.002837733,0.000646206,0.0010353,0.001873884,0.001346005,0.00018572,0.000871211,0.000725127,0.001003281
791,0.00249396,0.001830002,0.002171506,0.002575848,0.002156677,0.002579806,0.002576421,0.002249612,0.002094584,0.001663898,0.001992399,0.003343846,0.002544575,0.001495727,0.001274163,0.001617438,0.000937436,0.000727798,0.002944574,0.000841539,0.001081827,0.001880773,0.001334035,0.000255958,0.000705707,0.000687791,0.001042461
790,0.002649235,0.0017783,0.002313991,0.002784843,0.002025062,0.002585249,0.002689814,0.002123379,0.002065973,0.001721277,0.001829846,0.003505714,0.002793284,0.001511546,0.001330426,0.001604733,0.000964313,0.000755103,0.002912571,0.000908771,0.00102653,0.001954147,0.001299996,0.000179919,0.000825485,0.000648435,0.001021236
789,0.00268424,0.001853892,0.002079316,0.002865587,0.0023015,0.002677468,0.002484874,0.002202986,0.002245761,0.001834837,0.001994479,0.003391847,0.002697967,0.001487026,0.001201683,0.001623388,0.001159036,0.000966855,0.002721045,0.000676046,0.001040334,0.002059393,0.001284548,0.000426137,0.000879537,0.000816408,0.001156597
788,0.002635197,0.001772166,0.002166849,0.003035906,0.002214434,0.002725187,0.002781613,0.002374684,0.002078093,0.001866059,0.002084284,0.003374942,0.002835179,0.001462662,0.001169211,0.001508247,0.000930094,0.000841591,0.003011116,0.000773592,0.001212948,0.001956383,0.001331646,0.000475527,0.000860162,0.000719423,0.001106195
787,0.002807796,0.001847939,0.002253853,0.00303528,0.002109151,0.002785442,0.002528797,0.002326717,0.002408392,0.001917147,0.002051538,0.003551828,0.002698748,0.001700746,0.001259884,0.001663794,0.001055488,0.000793586,0.003012002,0.000832073,0.001199866,0.002113599,0.001287767,0.000405097,0.000879122,0.000822191,0.001085096
786,0.002867568,0.001955447,0.002424166,0.002997301,0.002275971,0.002895841,0.002671582,0.002437468,0.002324375,0.001976666,0.001993803,0.0036004,0.002773875,0.001761743,0.001451961,0.001796391,0.001185304,0.000900315,0.003032595,0.000738611,0.001148161,0.002009484,0.001454117,0.000462233,0.000980528,0.000734618,0.001068462
